,url
28107,https://www.vgchartz.com/game/226192/wii-play/
16121,https://www.vgchartz.com/game/221289/super-smash-bros-ultimate/
49737,https://www.vgchartz.com/game/226186/nintendogs/
44467,https://www.vgchartz.com/game/6246/duck-hunt/
16122,https://www.vgchartz.com/game/226069/naruto-ultimate-ninja/
18425,https://www.vgchartz.com/game/2666/wii-play/
49738,https://www.vgchartz.com/game/226279/farming-simulator/
8372,https://www.vgchartz.com/game/118753/the-legend-of-zelda-breath-of-the-wild/
38933,https://www.vgchartz.com/game/226072/tales-of/
8373,https://www.vgchartz.com/game/227491/grand-theft-auto-san-andreas/
28262,https://www.vgchartz.com/game/226198/yoshi/
44468,https://www.vgchartz.com/game/226309/ratchet-amp-clank/
32155,https://www.vgchartz.com/game/226177/portal/
2,https://www.vgchartz.com/game/226043/devil-may-cry/
44469,https://www.vgchartz.com/game/227651/borderlands-2/
52786,https://www.vgchartz.com/game/227510/fifa-18/
44470,https://www.vgchartz.com/game/226150/splatoon/
28263,https://www.vgchartz.com/game/226099/rayman/
38934,https://www.vgchartz.com/game/223748/pokemon-sword-shield/
52787,https://www.vgchartz.com/game/226221/tiger-woods-pga-tour/
32156,https://www.vgchartz.com/game/226082/puyo-puyo/
28264,https://www.vgchartz.com/game/228237/human-fall-flat/
8374,https://www.vgchartz.com/game/230298/dying-light/
8375,https://www.vgchartz.com/game/227490/grand-theft-auto-iv/
8376,https://www.vgchartz.com/game/226320/batman-arkham/
28265,https://www.vgchartz.com/game/152831/super-mario-odyssey/
52788,https://www.vgchartz.com/game/226232/jikkyo-powerful-pro-yakyu/
49739,https://www.vgchartz.com/game/226094/petz/
28108,https://www.vgchartz.com/game/45608/kinect-adventures/
49740,https://www.vgchartz.com/game/1657/nintendogs/
35588,https://www.vgchartz.com/game/1254/mario-kart-ds/
38935,https://www.vgchartz.com/game/4025/pokemon-gold-silver-version/
3,https://www.vgchartz.com/game/230391/god-of-war-2018/
28266,https://www.vgchartz.com/game/51349/terraria/
44471,https://www.vgchartz.com/game/227495/call-of-duty-modern-warfare-2/
52789,https://www.vgchartz.com/game/7480/wii-fit/
49741,https://www.vgchartz.com/game/231024/microsoft-flight-simulator/
8377,https://www.vgchartz.com/game/226295/spongebob-squarepants/
58343,https://www.vgchartz.com/game/228040/yu-gi-oh/
8378,https://www.vgchartz.com/game/226273/castlevania/
8379,https://www.vgchartz.com/game/226342/teenage-mutant-ninja-turtles/
4,https://www.vgchartz.com/game/226374/dynasty-warriors/
8380,https://www.vgchartz.com/game/226194/luigis-mansion/
52790,https://www.vgchartz.com/game/35077/wii-fit-plus/
49742,https://www.vgchartz.com/game/226093/imagine/
8381,https://www.vgchartz.com/game/226266/yakuza/
16123,https://www.vgchartz.com/game/227544/naruto-ultimate-ninja-storm/
38936,https://www.vgchartz.com/game/227558/final-fantasy-xx-2/
28267,https://www.vgchartz.com/game/4441/super-mario-world/
8382,https://www.vgchartz.com/game/226302/the-lord-of-the-rings/
38937,https://www.vgchartz.com/game/226180/super-robot-wars/
28268,https://www.vgchartz.com/game/226288/spyro/
18426,https://www.vgchartz.com/game/228042/simple/
8390,https://www.vgchartz.com/game/226362/watch-dogs/
8388,https://www.vgchartz.com/game/226092/prince-of-persia/
8389,https://www.vgchartz.com/game/226098/rayman-raving-rabbids/
38939,https://www.vgchartz.com/game/227690/fallout-4/
32157,https://www.vgchartz.com/game/226330/lemmings/
38940,https://www.vgchartz.com/game/227487/monster-hunter-world/
6,https://www.vgchartz.com/game/226231/frogger/
44472,https://www.vgchartz.com/game/226137/sniper-elite/
44473,https://www.vgchartz.com/game/226563/tom-clancys-the-division/
8383,https://www.vgchartz.com/game/229392/dying-light/
8384,https://www.vgchartz.com/game/226296/gundam/
8385,https://www.vgchartz.com/game/227375/horizon/
8386,https://www.vgchartz.com/game/230153/horizon-zero-dawn/
52791,https://www.vgchartz.com/game/227511/fifa-19/
27829,https://www.vgchartz.com/game/226169/singstar/
38938,https://www.vgchartz.com/game/227936/cyberpunk-2077/
8387,https://www.vgchartz.com/game/120133/marvels-spider-man/
49743,https://www.vgchartz.com/game/226160/simcity/
49744,https://www.vgchartz.com/game/226110/stardew-valley/
49745,https://www.vgchartz.com/game/227982/stardew-valley/
7,https://www.vgchartz.com/game/120125/god-of-war-2018/
58344,https://www.vgchartz.com/game/226171/starcraft/
18427,https://www.vgchartz.com/game/2948/brain-age-train-your-brain-in-minutes-a-day/
35589,https://www.vgchartz.com/game/226091/driver/
58345,https://www.vgchartz.com/game/226367/warcraft/
44474,https://www.vgchartz.com/game/227497/call-of-duty-ghosts/
35590,https://www.vgchartz.com/game/45691/mario-kart-7/
35591,https://www.vgchartz.com/game/226144/midnight-club/
28109,https://www.vgchartz.com/game/222153/super-mario-party/
28269,https://www.vgchartz.com/game/4436/super-mario-land/
49746,https://www.vgchartz.com/game/226317/ace-combat/
35592,https://www.vgchartz.com/game/227565/need-for-speed-most-wanted/
38941,https://www.vgchartz.com/game/4022/pokemon-diamond-pearl-version/
8391,https://www.vgchartz.com/game/230180/elden-ring/
8392,https://www.vgchartz.com/game/227492/grand-theft-auto-vice-city/
9,https://www.vgchartz.com/game/3427/grand-theft-auto-san-andreas/
28270,https://www.vgchartz.com/game/6458/super-mario-bros-3/
49747,https://www.vgchartz.com/game/226316/rollercoaster-tycoon/
10036,https://www.vgchartz.com/game/226064/professor-layton/
32159,https://www.vgchartz.com/game/226154/zuma/
32158,https://www.vgchartz.com/game/227884/zuma/
16124,https://www.vgchartz.com/game/226322/soulcalibur/
18428,https://www.vgchartz.com/game/33535/garrys-mod/
38942,https://www.vgchartz.com/game/226275/pokemon-mystery-dungeon/
38943,https://www.vgchartz.com/game/226033/persona/
8393,https://www.vgchartz.com/game/226179/metroid/
38944,https://www.vgchartz.com/game/71449/pokemon-xy/
8394,https://www.vgchartz.com/game/226243/hitman/
52792,https://www.vgchartz.com/game/226202/mario-tennis/
38945,https://www.vgchartz.com/game/226242/deus-ex/
38946,https://www.vgchartz.com/game/91783/pokemon-sunmoon/
10,https://www.vgchartz.com/game/77189/uncharted-4-a-thiefs-end/
38947,https://www.vgchartz.com/game/4031/pokemon-ruby-sapphire-version/
38948,https://www.vgchartz.com/game/226222/mass-effect/
44475,https://www.vgchartz.com/game/227652/borderlands-3/
52793,https://www.vgchartz.com/game/227506/fifa-11/
49748,https://www.vgchartz.com/game/227545/the-sims/
38949,https://www.vgchartz.com/game/71483/the-witcher-3-wild-hunt/
44476,https://www.vgchartz.com/game/227494/call-of-duty-4-modern-warfare/
44477,https://www.vgchartz.com/game/227882/call-of-duty-world-at-war/
38950,https://www.vgchartz.com/game/44573/pokemon-black-white-version/
35593,https://www.vgchartz.com/game/229665/need-for-speed-carbon/
